"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка валидации формы регистрации","19114","Registration form | Validate field [email] with [cyrillic] | [success]","tests","Wed May 14 16:42:55 GMT 2025","failed","Wed May 14 16:43:14 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","34729","Registration form | Validate field [first_name] with [over_max_symbols] | [error]","tests","Wed May 14 16:40:25 GMT 2025","failed","Wed May 14 16:41:00 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","28067","Registration form | Validate field [first_name] with [valid_with_apostrophe] | [success]","tests","Wed May 14 16:40:58 GMT 2025","passed","Wed May 14 16:41:27 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","36164","Registration form | Validate field [first_name] with [sql] | [success]","tests","Wed May 14 16:41:49 GMT 2025","passed","Wed May 14 16:42:25 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","24431","Registration form | Validate field [age] with [valid_age] | [success]","tests","Wed May 14 16:43:12 GMT 2025","passed","Wed May 14 16:43:36 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","29623","Registration form | Validate field [age] with [negative] | [error]","tests","Wed May 14 16:41:46 GMT 2025","passed","Wed May 14 16:42:16 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","35194","Registration form | Validate field [first_name] with [space_last] | [success]","tests","Wed May 14 16:40:24 GMT 2025","passed","Wed May 14 16:40:59 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","31175","Registration form | Validate field [age] with [too_old] | [error]","tests","Wed May 14 16:43:02 GMT 2025","failed","Wed May 14 16:43:33 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","33225","Registration form | Validate field [age] with [-1] | [error]","tests","Wed May 14 16:42:21 GMT 2025","passed","Wed May 14 16:42:54 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","28028","Registration form | Validate field [first_name] with [over_max_symbols] | [error]","tests","Wed May 14 16:40:32 GMT 2025","failed","Wed May 14 16:41:00 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","39573","Registration form | Validate field [first_name] with [valid_with_hyphen] | [success]","tests","Wed May 14 16:41:02 GMT 2025","passed","Wed May 14 16:41:42 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","16472","Registration form | Validate field [email] with [script] | [error]","tests","Wed May 14 16:44:49 GMT 2025","passed","Wed May 14 16:45:06 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","26152","Registration form | Validate field [email] with [empty] | [error]","tests","Wed May 14 16:42:34 GMT 2025","passed","Wed May 14 16:43:00 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","29388","Registration form | Validate field [email] with [empty] | [error]","tests","Wed May 14 16:43:43 GMT 2025","passed","Wed May 14 16:44:13 GMT 2025","TestRegistrationForm","test_web_tables","",""
